2026-06-05 13:51:01.495 MSK [1816] СООБЩЕНИЕ:  начата контрольная точка: time
2026-06-05 13:51:02.649 MSK [1816] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 5 (0.0%), записано SLRU-буферов: 1; добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=1.015 сек., синхр.=0.072 сек., всего=1.155 сек.; синхронизировано_файлов=6, самая_долгая_синхр.=0.067 сек., средняя=0.012 сек.; расстояние=11 КБ, ожидалось=41 КБ; lsn=0/4686E88, lsn redo=0/4686E30
2026-06-06 18:55:55.693 MSK [5336] СООБЩЕНИЕ:  запускается PostgreSQL 18.3 on x86_64-windows, compiled by msvc-19.44.35225, 64-bit
2026-06-06 18:55:55.702 MSK [5336] СООБЩЕНИЕ:  для приёма подключений по адресу IPv6 "::1" открыт порт 5432
2026-06-06 18:55:55.703 MSK [5336] СООБЩЕНИЕ:  для приёма подключений по адресу IPv4 "127.0.0.1" открыт порт 5432
2026-06-06 18:55:56.243 MSK [660] СООБЩЕНИЕ:  работа системы БД была прервана; последний момент работы: 2026-06-05 13:51:02 MSK
2026-06-06 18:55:59.868 MSK [660] СООБЩЕНИЕ:  система БД была остановлена нештатно; производится автоматическое восстановление
2026-06-06 18:55:59.879 MSK [660] СООБЩЕНИЕ:  запись REDO начинается со смещения 0/4686E30
2026-06-06 18:55:59.879 MSK [660] СООБЩЕНИЕ:  неверная длина записи в позиции 0/4686F38: ожидалось минимум 24, получено 0
2026-06-06 18:55:59.879 MSK [660] СООБЩЕНИЕ:  записи REDO обработаны до смещения 0/4686F00, нагрузка системы: CPU: пользов.: 0.00 с, система: 0.00 с, прошло: 0.00 с
2026-06-06 18:55:59.899 MSK [10272] СООБЩЕНИЕ:  начата контрольная точка: end-of-recovery immediate wait
2026-06-06 18:55:59.959 MSK [10272] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 0 (0.0%), записано SLRU-буферов: 3; добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.004 сек., синхр.=0.002 сек., всего=0.071 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=0 КБ, ожидалось=0 КБ; lsn=0/4686F38, lsn redo=0/4686F38
2026-06-06 18:55:59.975 MSK [5336] СООБЩЕНИЕ:  система БД готова принимать подключения
2026-06-06 19:00:59.985 MSK [10272] СООБЩЕНИЕ:  начата контрольная точка: time
2026-06-06 19:01:02.802 MSK [10272] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 5 (0.0%), записано SLRU-буферов: 1; добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.834 сек., синхр.=1.728 сек., всего=2.818 сек.; синхронизировано_файлов=6, самая_долгая_синхр.=1.725 сек., средняя=0.288 сек.; расстояние=16 КБ, ожидалось=16 КБ; lsn=0/468B018, lsn redo=0/468AFC0
2026-06-06 19:28:15.409 MSK [7256] РћРЁРР‘РљРђ:  СЃС‚РѕР»Р±РµС† game_kazakhword.embedding РЅРµ СЃСѓС‰РµСЃС‚РІСѓРµС‚ (СЃРёРјРІРѕР» 118)
